,0
0,251.0
1,251.0
2,251.0
3,352.0
4,352.0
5,452.0
6,452.0
7,553.0
8,553.0
9,653.0
10,653.0
11,754.0
12,754.0
13,854.0
14,854.0
15,955.0
16,955.0
17,1056.0
18,1056.0
19,1056.0
20,1156.0
21,1156.0
22,1257.0
23,1257.0
24,1357.0
25,1357.0
26,1458.0
27,1458.0
28,1558.0
29,1558.0
30,1659.0
31,1659.0
32,1759.0
33,1759.0
34,1860.0
35,1860.0
36,1960.0
37,1960.0
38,2061.0
39,2061.0
40,2061.0
41,2161.0
42,2161.0
43,2261.0
44,2261.0
45,2362.0
46,2362.0
47,2462.0
48,2462.0
49,2563.0
50,2563.0
51,2663.0
52,2663.0
53,2764.0
54,2764.0
55,2864.0
56,2864.0
57,2965.0
58,2965.0
59,3065.0
60,3065.0
61,3065.0
62,3165.0
63,3165.0
64,3266.0
65,3266.0
66,3366.0
67,3366.0
68,3467.0
69,3467.0
70,3567.0
71,3567.0
72,3667.0
73,3667.0
74,3768.0
75,3768.0
76,3868.0
77,3868.0
78,3968.0
79,3968.0
80,4069.0
81,4069.0
82,4169.0
83,4169.0
84,4169.0
85,4269.0
86,4269.0
87,4370.0
88,4370.0
89,4470.0
90,4470.0
91,4570.0
92,4570.0
93,4671.0
94,4671.0
95,4771.0
96,4771.0
97,4871.0
98,4871.0
99,4971.0
100,4971.0
101,5072.0
102,5072.0
103,5172.0
104,5172.0
105,5172.0
106,5272.0
107,5272.0
108,5372.0
109,5372.0
110,5472.0
111,5472.0
112,5573.0
113,5573.0
114,5673.0
115,5673.0
116,5773.0
117,5773.0
118,5873.0
119,5873.0
120,5973.0
121,5973.0
122,6073.0
123,6073.0
124,6173.0
125,6173.0
126,6173.0
127,6273.0
128,6273.0
129,6374.0
130,6374.0
131,6474.0
132,6474.0
133,6574.0
134,6574.0
135,6674.0
136,6674.0
137,6774.0
138,6774.0
139,6874.0
140,6874.0
141,6974.0
142,6974.0
143,7074.0
144,7074.0
145,7173.0
146,7173.0
147,7273.0
148,7273.0
149,7273.0
150,7373.0
151,7373.0
152,7473.0
153,7473.0
154,7573.0
155,7573.0
156,7673.0
157,7673.0
158,7773.0
159,7773.0
160,7873.0
161,7873.0
162,7972.0
163,7972.0
164,8072.0
165,8072.0
166,8172.0
167,8172.0
168,8272.0
169,8272.0
170,8272.0
171,8371.0
172,8371.0
173,8471.0
174,8471.0
175,8571.0
176,8571.0
177,8670.0
178,8670.0
179,8770.0
180,8770.0
